Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2021-08-06,142.92869567871094,167.2469940185547,134.72059631347656,360.9883728027344,279.0309753417969,20.3205509185791,233.03334045410156
2021-08-09,142.87982177734375,167.093505859375,135.8862762451172,359.10150146484375,277.94158935546875,20.24971580505371,237.9199981689453
2021-08-10,142.4005584716797,166.03399658203125,135.78106689453125,358.6248779296875,276.11962890625,19.891515731811523,236.663330078125
2021-08-11,142.6549072265625,164.60549926757812,135.2570343017578,357.4630126953125,276.6114196777344,19.655038833618164,235.94000244140625
2021-08-12,145.6182861328125,165.1750030517578,136.1651611328125,360.13433837890625,279.3682556152344,19.860580444335938,240.75
2021-08-13,145.8236846923828,164.69850158691406,136.6946563720703,360.66070556640625,282.2987365722656,20.1429500579834,239.05667114257812
2021-08-16,147.79930114746094,164.94949340820312,137.27232360839844,364.01727294921875,283.9857177734375,19.905481338500977,228.72332763671875
2021-08-17,146.8897247314453,162.09800720214844,135.6366729736328,355.9635314941406,282.5204772949219,19.414575576782227,221.90333557128906
2021-08-18,143.1438751220703,160.06100463867188,134.4332733154297,352.9842834472656,280.79168701171875,18.99751091003418,229.663330078125
2021-08-19,143.47640991210938,159.3874969482422,134.6625213623047,352.6565856933594,286.62518310546875,19.753820419311523,224.49000549316406
2021-08-20,144.9336700439453,159.99749755859375,136.39892578125,356.8771057128906,293.9556884765625,20.769550323486328,226.75332641601562
2021-08-23,146.4202880859375,163.2935028076172,138.9913330078125,360.8294372558594,294.23577880859375,21.909000396728516,235.43333435058594
2021-08-24,146.332275390625,165.28900146484375,140.2021942138672,362.9744873046875,292.27520751953125,21.744369506835938,236.163330078125
2021-08-25,145.09994506835938,164.95899963378906,141.01353454589844,365.83453369140625,291.68609619140625,22.163429260253906,237.06666564941406
2021-08-26,144.29794311523438,165.8000030517578,140.37982177734375,361.85235595703125,288.8658752441406,22.018754959106445,233.72000122070312
2021-08-27,145.33468627929688,167.48150634765625,142.9241180419922,370.0451354980469,289.47442626953125,22.58548355102539,237.30667114257812
2021-08-30,149.75534057617188,171.07850646972656,143.50619506835938,378.0194396972656,293.2120666503906,22.637371063232422,243.6366729736328
2021-08-31,148.4936981201172,173.5395050048828,143.61241149902344,376.7482604980469,291.560546875,22.3389892578125,245.24000549316406
2021-09-01,149.15872192382812,173.9499969482422,144.12652587890625,379.3997497558594,291.5121765136719,22.394872665405273,244.69667053222656
2021-09-02,150.27369689941406,173.156005859375,142.21249389648438,372.6767578125,290.85546875,22.349964141845703,244.1300048828125
2021-09-03,150.90945434570312,173.90249633789062,142.66159057617188,373.64996337890625,290.8458251953125,22.796045303344727,244.52333068847656
2021-09-07,153.24688720703125,175.46449279785156,143.1985321044922,379.52886962890625,289.9186706542969,22.61541748046875,250.97332763671875
2021-09-08,151.7015838623047,176.27499389648438,142.6134490966797,374.9508361816406,289.9476318359375,22.293081283569336,251.2899932861328
2021-09-09,150.68447875976562,174.20799255371094,142.46458435058594,375.3778991699219,287.0888366699219,22.13141441345215,251.6199951171875
2021-09-10,145.69656372070312,173.45750427246094,139.81956481933594,376.0631408691406,285.6014709472656,22.431795120239258,245.42333984375
2021-09-13,146.26376342773438,172.85850524902344,141.26513671875,373.898193359375,286.83770751953125,22.10646629333496,247.6666717529297
2021-09-14,144.86521911621094,172.5,141.4755401611328,373.9180603027344,289.5419921875,22.196279525756836,248.163330078125
2021-09-15,145.75521850585938,173.7895050048828,143.34642028808594,371.32623291015625,294.3999938964844,22.295076370239258,251.94332885742188
2021-09-16,145.52049255371094,174.41200256347656,142.53306579589844,370.47216796875,294.78631591796875,22.196279525756836,252.3300018310547
2021-09-17,142.85047912597656,173.12600708007812,139.74411010742188,362.19000244140625,289.6192626953125,21.854984283447266,253.163330078125
2021-09-20,139.7990264892578,167.7864990234375,137.67922973632812,353.2325439453125,284.2396545410156,21.06960105895996,243.38999938964844
2021-09-21,140.2782745361328,167.18150329589844,137.99037170410156,355.0002136230469,284.7225646972656,21.202327728271484,246.4600067138672
2021-09-22,142.64512634277344,169.00250244140625,139.23147583007812,340.8292236328125,288.3733215332031,21.895902633666992,250.64666748046875
2021-09-23,143.6035614013672,170.8000030517578,140.15701293945312,343.5600891113281,289.31982421875,22.435789108276367,251.2133331298828
2021-09-24,143.69158935546875,171.2760009765625,141.14849853515625,350.5115661621094,289.11700439453125,22.035612106323242,258.1300048828125
2021-09-27,142.1756591796875,170.2899932861328,140.01409912109375,351.12725830078125,284.1141052246094,21.615476608276367,263.78668212890625
2021-09-28,138.79165649414062,165.79800415039062,134.81141662597656,338.28692626953125,273.8280944824219,20.656450271606445,259.1866760253906
2021-09-29,139.6914825439453,165.05599975585938,133.34596252441406,337.2541198730469,274.291748046875,20.474828720092773,260.4366760253906
2021-09-30,138.39068603515625,164.2519989013672,132.67355346679688,337.03570556640625,272.2828369140625,20.673416137695312,258.49334716796875
2021-10-01,139.51539611816406,164.16299438476562,135.51905822753906,340.630615234375,279.2174072265625,20.699369430541992,258.40667724609375
2021-10-04,136.08255004882812,159.48899841308594,132.65716552734375,323.9670104980469,273.4320068359375,19.691436767578125,260.510009765625
2021-10-05,138.0092315673828,161.0500030517578,135.00296020507812,330.65032958984375,278.88897705078125,20.40896224975586,260.1966552734375
2021-10-06,138.87969970703125,163.10049438476562,136.5334014892578,331.3255920410156,283.09033203125,20.65744972229004,260.9166564941406
2021-10-07,140.14138793945312,165.1215057373047,138.1809539794922,326.936279296875,284.7709045410156,21.031679153442383,264.53668212890625
2021-10-08,139.75990295410156,164.43099975585938,138.7372589111328,327.760498046875,284.7709045410156,20.78818130493164,261.8299865722656
2021-10-11,139.671875,162.31500244140625,137.8722686767578,323.1924133300781,284.1720275878906,20.652463912963867,263.9800109863281
2021-10-12,138.4004669189453,162.3665008544922,135.42576599121094,321.5240478515625,282.8681945800781,20.62850570678711,268.5733337402344
2021-10-13,137.8136444091797,164.21400451660156,136.5502471923828,322.2886657714844,286.1809387207031,20.89595603942871,270.3599853515625
