Date,EqualWeight,Markowitz,BlackLitterman
2025-02-26,-0.08639021583379602,-0.09240850412488588,-0.08690025819769065
2025-02-27,-0.11504705498052037,-0.12200152128302455,-0.10512162708563999
2025-02-28,-0.09583487962153481,-0.10198433121195738,-0.09124945276537333
2025-03-03,-0.12497695520792262,-0.1317133380451342,-0.11089340238132639
2025-03-04,-0.13015294752815854,-0.1309483803334387,-0.11103175678066157
2025-03-05,-0.11415137843597845,-0.12173635904525915,-0.09551188685216205
2025-03-06,-0.14067567050495244,-0.1394930636980003,-0.10715274547564002
2025-03-07,-0.13809689423471638,-0.13038582005451615,-0.10539276478741721
2025-03-10,-0.18729527105007882,-0.18057009188323203,-0.14596550946818732
2025-03-11,-0.1828167683488514,-0.1852716030534537,-0.1511973197470844
2025-03-12,-0.16140322825547604,-0.1692391312060042,-0.1443394186130088
2025-03-13,-0.18230631857407087,-0.18814078024692804,-0.16440001126080328
2025-03-14,-0.15862927145870942,-0.16551014885752702,-0.14612193185375122
2025-03-17,-0.168915918527354,-0.17330512912010299,-0.15052524063579698
2025-03-18,-0.1904436541696104,-0.19077649800832186,-0.16406846458521163
2025-03-19,-0.17596433711173498,-0.17571264245548934,-0.15084027358977758
2025-03-20,-0.17642106007863134,-0.1771381966443638,-0.1542367256493562
2025-03-21,-0.16373078936454366,-0.1656392089554709,-0.14222882274866777
2025-03-24,-0.13229729309256832,-0.14177013830259033,-0.12407230376720735
2025-03-25,-0.12122169715362541,-0.13162274701283705,-0.1129117355682745
2025-03-26,-0.14824660551905733,-0.15752497742641247,-0.1309351526981649
2025-03-27,-0.15240819376062575,-0.16058279579839496,-0.1312126772108292
2025-03-28,-0.18172950772665064,-0.18622066020198236,-0.16205118736704116
2025-03-31,-0.18516904322988104,-0.18414483322677555,-0.16221139575195898
2025-04-01,-0.17148205165823305,-0.17259792347097702,-0.1504353265399131
2025-04-02,-0.16260715283514282,-0.16666553020315755,-0.14494146053039259
2025-04-03,-0.21865461693804,-0.222649937828594,-0.19267427257528114
2025-04-04,-0.2646771724510566,-0.2723794843967098,-0.23258314559310822
2025-04-07,-0.2622545437683763,-0.2779681321218589,-0.23826280564105162
2025-04-08,-0.2805094321697835,-0.29985670750001725,-0.25749972227509244
2025-04-09,-0.1743434271145714,-0.19461300849397678,-0.16601977082381414
2025-04-10,-0.21608379366795227,-0.23165523654903752,-0.19774402330331886
2025-04-11,-0.20113089666435768,-0.20899599279133185,-0.1772372724778315
2025-04-14,-0.20184456473995283,-0.20083963659826576,-0.1724179008588841
2025-04-15,-0.20603940775858642,-0.2021028721279471,-0.17876443998056435
2025-04-16,-0.23766984943347336,-0.2352288712730205,-0.20581319542015697
2025-04-17,-0.24327670096390808,-0.2390817442448704,-0.20929403537041447
2025-04-21,-0.26844384591466164,-0.26184537292597987,-0.229276412920706
2025-04-22,-0.24598047323577177,-0.24013815718232212,-0.20700764701776675
2025-04-23,-0.21951669984252165,-0.217132193772281,-0.18510129022127142
2025-04-24,-0.19643134596355738,-0.1960508572573848,-0.16219932147361338
2025-04-25,-0.17190834998677418,-0.17543677450222384,-0.1487278992462555
2025-04-28,-0.1749337895644021,-0.1790837661551543,-0.1505715452132147
2025-04-29,-0.17013304451594413,-0.17517344255680511,-0.14714311722858342
2025-04-30,-0.17720634161959592,-0.1777032718953151,-0.150085747109158
2025-05-01,-0.155066321810175,-0.16384511559805737,-0.12185402696778014
2025-05-02,-0.14363165145802126,-0.16374049948905556,-0.11921485961531586
2025-05-05,-0.15265925721847362,-0.17619559979037358,-0.1290044590779883
2025-05-06,-0.16011146015458189,-0.18032556496136853,-0.13418035329659306
2025-05-07,-0.16173760827484995,-0.1915298256756044,-0.1484170152958476
2025-05-08,-0.15093000493685915,-0.18224165680424265,-0.1366865751188192
2025-05-09,-0.14686035608515435,-0.1793719721737307,-0.13420698915667362
2025-05-12,-0.09733583399853396,-0.13650931673902988,-0.09327534461141818
2025-05-13,-0.07653519131548636,-0.11750526444048681,-0.085459354785696
2025-05-14,-0.060123237100243365,-0.09912920434314498,-0.07457017482242745
2025-05-15,-0.07030077588263395,-0.1040391709331645,-0.08046566499652097
2025-05-16,-0.06540252672156088,-0.09865631263941854,-0.07574443150254029
